"","word1","word2","word3","word4"
"1","the","end","of","the"
"2","at","the","end","of"
"3","thank","for","the","follow"
"4","the","rest","of","the"
"5","for","the","first","time"
"6","is","go","to","be"
"7","cant","wait","to","see"
"8","at","the","same","time"
"9","if","you","want","to"
"10","when","it","come","to"
"11","i","am","go","to"
"12","in","the","middl","of"
"13","one","of","my","favorit"
"14","thank","for","the","rt"
"15","thank","you","for","the"
"16","dope","dope","dope","dope"
"17","go","to","be","a"
"18","thank","you","so","much"
"19","i","just","want","to"
"20","to","be","abl","to"
"21","have","a","great","day"
"22","i","would","love","to"
"23","is","one","of","the"
"24","i","want","to","be"
"25","i","was","abl","to"
"26","i","would","like","to"
"27","i","dont","want","to"
"28","one","of","the","most"
"29","a","bit","of","a"
"30","hope","you","have","a"
"31","i","was","go","to"
"32","a","littl","bit","of"
"33","i","cant","wait","to"
"34","it","go","to","be"
"35","love","love","love","love"
"36","on","the","other","hand"
"37","turn","out","to","be"
"38","for","the","rest","of"
"39","let","me","know","if"
"40","on","my","way","to"
"41","the","middl","of","the"
"42","by","the","end","of"
"43","do","you","want","to"
"44","have","a","great","weekend"
"45","i","look","forward","to"
"46","the","rest","of","my"
"47","the","top","of","the"
"48","you","dont","have","to"
"49","a","lot","of","fun"
"50","be","a","part","of"
"51","i","need","to","get"
"52","i","realli","want","to"
"53","i","thought","it","was"
"54","in","front","of","the"
"55","look","forward","to","see"
"56","one","of","the","best"
"57","when","i","was","a"
"58","a","lot","of","the"
"59","as","a","result","of"
"60","can","i","get","a"
"61","hope","to","see","you"
"62","i","feel","like","i"
"63","i","have","to","admit"
"64","i","want","to","do"
"65","on","the","other","side"
"66","some","of","the","best"
"67","thank","so","much","for"
"68","to","get","back","to"
"69","to","get","out","of"
"70","vega","vega","vega","vega"
"71","will","be","abl","to"
"72","you","want","to","be"
"73","do","the","same","thing"
"74","have","a","lot","of"
"75","i","dont","know","how"
"76","i","wish","i","had"
"77","if","you","are","a"
"78","is","one","of","my"
"79","so","much","for","the"
"80","thank","you","for","follow"
"81","thank","you","for","your"
"82","to","go","to","the"
"83","to","hang","out","with"
"84","wait","to","see","you"
"85","want","to","be","a"
"86","you","have","a","great"
"87","a","chanc","to","win"
"88","a","part","of","the"
"89","and","i","want","to"
"90","as","one","of","the"
"91","as","soon","as","i"
"92","figur","out","how","to"
"93","go","to","have","to"
"94","i","had","no","idea"
"95","i","have","no","idea"
"96","i","wish","i","could"
"97","in","a","long","time"
"98","look","forward","to","the"
"99","love","you","so","much"
"100","thank","for","the","ff"
"101","this","is","what","i"
"102","as","much","as","i"
"103","cant","wait","for","the"
"104","do","you","have","a"
"105","for","a","long","time"
"106","for","those","of","you"
"107","had","a","lot","of"
"108","happi","mother","day","to"
"109","have","a","hard","time"
"110","i","am","not","go"
"111","i","dont","know","what"
"112","i","love","you","so"
"113","i","want","to","see"
"114","if","you","have","a"
"115","in","the","first","place"
"116","in","the","midst","of"
"117","is","a","good","thing"
"118","noth","to","do","with"
"119","thank","for","the","mention"
"120","thank","you","veri","much"
"121","the","begin","of","the"
"122","the","bottom","of","the"
"123","the","first","time","in"
"124","those","of","you","who"
"125","to","figur","out","what"
"126","to","hear","from","you"
"127","to","talk","to","you"
"128","what","i","want","to"
"129","you","are","go","to"
"130","a","coupl","of","day"
"131","a","lot","of","peopl"
"132","am","not","go","to"
"133","as","far","as","i"
"134","as","long","as","you"
"135","at","the","begin","of"
"136","but","i","have","to"
"137","come","up","with","a"
"138","end","of","the","day"
"139","for","a","chanc","to"
"140","for","the","head","up"
"141","i","have","to","say"
"142","i","think","it","was"
"143","i","thought","i","would"
"144","i","want","to","get"
"145","i","was","tri","to"
"146","i","went","to","the"
"147","im","not","sure","how"
"148","is","it","just","me"
"149","it","is","one","of"
"150","let","us","know","if"
"151","look","forward","to","it"
"152","make","me","want","to"
"153","me","know","if","you"
"154","not","be","abl","to"
"155","some","of","the","most"
"156","the","fact","that","the"
"157","the","onli","one","who"
"158","to","be","a","good"
"159","want","to","go","to"
"160","we","are","go","to"
"161","what","do","you","think"
"162","when","i","was","in"
"163","a","few","year","ago"
"164","a","matter","of","time"
"165","all","over","the","place"
"166","am","i","the","onli"
"167","are","go","to","be"
"168","are","you","go","to"
"169","as","you","can","see"
"170","at","the","top","of"
"171","at","this","point","i"
"172","be","a","good","day"
"173","bmw","servic","center","california"
"174","but","i","think","i"
"175","cant","wait","to","go"
"176","did","you","know","that"
"177","do","you","know","what"
"178","dont","get","me","wrong"
"179","for","a","few","day"
"180","get","out","of","the"
"181","give","us","a","call"
"182","had","a","great","time"
"183","he","didnt","want","to"
"184","hope","all","is","well"
"185","i","cant","wait","for"
"186","i","dont","even","know"
"187","i","dont","have","a"
"188","i","havent","been","on"
"189","i","know","i","have"
"190","i","think","i","am"
"191","i","think","i","will"
"192","i","think","it","is"
"193","i","think","this","is"
"194","i","will","have","to"
"195","if","you","dont","have"
"196","if","you","have","ani"
"197","in","the","back","of"
"198","in","the","way","of"
"199","it","is","go","to"
"200","it","was","great","to"
"201","it","would","be","a"
"202","make","me","feel","better"
"203","nice","to","meet","you"
"204","one","of","the","reason"
"205","onli","a","matter","of"
"206","over","and","over","again"
"207","remind","me","of","the"
"208","so","i","can","get"
"209","so","i","had","to"
"210","thank","for","all","the"
"211","thank","for","the","tweet"
"212","that","awkward","moment","when"
"213","that","need","to","be"
"214","the","back","of","the"
"215","the","bmw","servic","center"
"216","the","other","side","of"
"217","there","are","so","mani"
"218","this","is","a","good"
"219","this","is","the","first"
"220","to","deal","with","the"
"221","to","do","with","the"
"222","to","go","to","bed"
"223","was","go","to","be"
"224","was","one","of","the"
"225","we","look","forward","to"
"226","what","are","you","do"
"227","what","do","you","do"
"228","will","be","in","the"
"229","wish","i","had","a"
"230","you","know","what","i"
"231","you","so","much","for"
"232","you","would","like","to"
"233","a","coupl","of","week"
"234","a","few","week","ago"
"235","a","friend","of","mine"
"236","a","good","idea","to"
"237","a","great","deal","of"
"238","a","lot","of","time"
"239","all","of","a","sudden"
"240","and","it","will","be"
"241","are","a","lot","of"
"242","as","a","way","to"
"243","as","well","as","the"
"244","at","the","start","of"
"245","but","you","have","to"
"246","do","a","lot","of"
"247","end","of","the","world"
"248","fall","in","love","with"
"249","fell","in","love","with"
"250","for","a","lot","of"
"251","for","the","sake","of"
"252","get","a","lot","of"
"253","go","to","be","the"
"254","here","are","a","few"
"255","i","can","tell","you"
"256","i","don’t","want","to"
"257","i","feel","like","a"
"258","i","need","to","learn"
"259","i","want","to","go"
"260","i","want","to","make"
"261","i","was","a","littl"
"262","i","was","look","for"
"263","i","would","say","that"
"264","if","you","would","like"
"265","im","go","to","be"
"266","im","go","to","tri"
"267","in","my","life","i"
"268","in","need","of","a"
"269","in","the","face","of"
"270","in","the","long","run"
"271","in","the","morn","and"
"272","in","the","unit","state"
"273","is","a","lot","of"
"274","it","is","to","be"
"275","it","just","me","or"
"276","it","was","a","great"
"277","it","will","be","a"
"278","let","me","tell","you"
"279","look","forward","to","your"
"280","most","of","the","time"
"281","not","the","onli","one"
"282","of","some","of","the"
"283","of","the","holi","spirit"
"284","on","a","daili","basi"
"285","on","the","way","home"
"286","on","top","of","the"
"287","one","of","the","greatest"
"288","one","of","the","thing"
"289","seem","to","be","a"
"290","sex","sex","sex","sex"
"291","shout","out","to","my"
"292","so","i","decid","to"
"293","take","a","look","at"
"294","thank","for","follow","me"
"295","that","one","of","the"
"296","the","fact","that","i"
"297","the","front","of","the"
"298","the","onli","one","that"
"299","the","onli","way","to"
"300","the","rest","of","us"
"301","the","south","carolina","windpool"
"302","there","are","a","lot"
"303","this","is","go","to"
"304","those","of","us","who"
"305","to","be","a","part"
"306","to","be","one","of"
"307","to","get","rid","of"
"308","to","give","it","a"
"309","to","go","back","to"
"310","to","keep","up","with"
"311","to","see","what","you"
"312","to","tell","you","that"
"313","tri","to","figur","out"
"314","us","know","if","you"
"315","wait","to","see","what"
"316","way","to","start","the"
"317","who","do","you","think"
"318","will","be","on","the"
"319","you","want","to","do"
"320","a","big","fan","of"
"321","all","the","way","to"
"322","and","i","dont","care"
"323","and","i","have","a"
"324","as","a","matter","of"
"325","as","long","as","they"
"326","as","much","as","possibl"
"327","at","the","veri","least"
"328","but","i","dont","know"
"329","but","i","have","a"
"330","but","i","think","it"
"331","cant","wait","to","get"
"332","do","a","good","job"
"333","do","not","want","to"
"334","do","you","have","ani"
"335","dont","know","how","to"
"336","far","as","i","know"
"337","for","all","of","the"
"338","for","minut","or","until"
"339","for","the","most","part"
"340","get","a","chanc","to"
"341","get","in","the","way"
"342","get","out","of","bed"
"343","glad","you","like","it"
"344","happi","birthday","to","my"
"345","has","to","be","a"
"346","have","a","good","day"
"347","hope","your","have","a"
"348","i","am","so","excit"
"349","i","can","think","of"
"350","i","feel","like","im"
"351","i","have","a","few"
"352","i","have","a","lot"
"353","i","have","to","go"
"354","i","just","dont","know"
"355","i","know","i","know"
"356","i","need","to","make"
"357","i","realli","need","to"
"358","i","the","onli","one"
"359","i","think","im","go"
"360","i","thought","i","was"
"361","i","want","you","to"
"362","i","was","a","kid"
"363","i","will","be","back"
"364","if","anyon","want","to"
"365","if","i","want","to"
"366","if","there","was","a"
"367","if","you","do","not"
"368","if","you","dont","like"
"369","if","your","go","to"
"370","im","in","love","with"
"371","in","a","coupl","of"
"372","in","a","few","hour"
"373","in","item","c","abov"
"374","in","the","case","of"
"375","in","the","direct","of"
"376","in","the","late","s"
"377","is","not","enough","we"
"378","is","one","of","those"
"379","is","that","it","is"
"380","it","all","the","time"
"381","it","been","a","while"
"382","it","come","to","the"
"383","it","has","been","a"
"384","it","is","easi","to"
"385","it","was","a","good"
"386","it","was","the","first"
"387","it","would","have","been"
"388","item","c","abov","pp"
"389","know","what","to","do"
"390","let","me","know","what"
"391","look","forward","to","hear"
"392","me","and","jordan","benker"
"393","mother","day","to","all"
"394","my","husband","and","i"
"395","need","to","go","to"
"396","not","enough","we","must"
"397","not","go","to","be"
"398","now","it","time","to"
"399","on","the","back","of"
