"","word1","word2"
"1","in","the"
"2","of","the"
"3","for","the"
"4","to","the"
"5","on","the"
"6","to","be"
"7","at","the"
"8","go","to"
"9","and","the"
"10","i","was"
"11","in","a"
"12","want","to"
"13","is","a"
"14","i","have"
"15","and","i"
"16","i","am"
"17","it","was"
"18","have","a"
"19","if","you"
"20","it","is"
"21","for","a"
"22","with","the"
"23","will","be"
"24","is","the"
"25","to","get"
"26","need","to"
"27","from","the"
"28","one","of"
"29","i","love"
"30","with","a"
"31","i","think"
"32","have","to"
"33","of","a"
"34","but","i"
"35","to","see"
"36","that","i"
"37","this","is"
"38","tri","to"
"39","to","do"
"40","of","my"
"41","thank","for"
"42","all","the"
"43","be","a"
"44","you","can"
"45","that","the"
"46","was","a"
"47","i","can"
"48","out","of"
"49","thank","you"
"50","when","i"
"51","you","are"
"52","you","have"
"53","i","dont"
"54","as","a"
"55","in","my"
"56","i","had"
"57","a","great"
"58","a","littl"
"59","the","same"
"60","i","know"
"61","to","make"
"62","we","are"
"63","by","the"
"64","and","a"
"65","the","first"
"66","a","good"
"67","so","much"
"68","a","lot"
"69","i","just"
"70","a","few"
"71","on","a"
"72","i","will"
"73","to","a"
"74","to","go"
"75","lot","of"
"76","have","been"
"77","would","be"
"78","do","you"
"79","that","is"
"80","and","it"
"81","i","want"
"82","on","my"
"83","the","best"
"84","are","you"
"85","they","are"
"86","there","is"
"87","had","a"
"88","so","i"
"89","to","have"
"90","i","would"
"91","about","the"
"92","like","a"
"93","the","world"
"94","has","been"
"95","is","not"
"96","we","have"
"97","into","the"
"98","you","know"
"99","to","me"
"100","but","it"
"101","if","i"
"102","i","cant"
"103","all","of"
"104","he","was"
"105","as","the"
"106","i","need"
"107","there","are"
"108","to","my"
"109","i","could"
"110","it","a"
"111","the","way"
"112","right","now"
"113","get","a"
"114","the","most"
"115","a","new"
"116","for","me"
"117","in","this"
"118","and","then"
"119","back","to"
"120","some","of"
"121","the","new"
"122","i","do"
"123","of","cours"
"124","part","of"
"125","is","that"
"126","the","other"
"127","time","to"
"128","what","i"
"129","be","the"
"130","way","to"
"131","like","to"
"132","love","you"
"133","the","time"
"134","was","the"
"135","the","day"
"136","me","to"
"137","over","the"
"138","that","you"
"139","with","my"
"140","the","end"
"141","to","take"
"142","come","to"
"143","i","got"
"144","the","next"
"145","abl","to"
"146","when","you"
"147","as","i"
"148","listen","to"
"149","at","least"
"150","the","last"
"151","for","you"
"152","up","to"
"153","look","like"
"154","of","it"
"155","cant","wait"
"156","follow","me"
"157","of","your"
"158","that","was"
"159","a","bit"
"160","make","it"
"161","more","than"
"162","as","well"
"163","i","feel"
"164","in","your"
"165","look","at"
"166","the","onli"
"167","make","a"
"168","should","be"
"169","and","that"
"170","of","this"
"171","that","it"
"172","im","not"
"173","kind","of"
"174","to","say"
"175","he","is"
"176","i","hope"
"177","to","you"
"178","you","want"
"179","i","did"
"180","of","our"
"181","how","to"
"182","i","thought"
"183","we","can"
"184","can","be"
"185","me","and"
"186","but","the"
"187","you","will"
"188","at","a"
"189","like","the"
"190","do","it"
"191","i","like"
"192","is","it"
"193","know","what"
"194","see","you"
"195","from","a"
"196","had","to"
"197","of","his"
"198","that","he"
"199","get","to"
"200","look","for"
"201","and","we"
"202","they","were"
"203","last","night"
"204","it","to"
"205","forward","to"
"206","make","me"
"207","i","get"
"208","that","we"
"209","feel","like"
"210","see","the"
"211","for","my"
"212","look","forward"
"213","to","work"
"214","you","to"
"215","do","not"
"216","to","find"
"217","has","a"
"218","this","week"
"219","are","the"
"220","have","the"
