"","word1","word2"
"1","right","now"
"2","look","like"
"3","feel","like"
"4","look","forward"
"5","last","night"
"6","thank","you"
"7","thank","follow"
"8","last","year"
"9","can","get"
"10","new","york"
"11","make","sure"
"12","happi","birthday"
"13","just","got"
"14","year","ago"
"15","good","morn"
"16","let","know"
"17","last","week"
"18","follow","back"
"19","first","time"
"20","one","day"
"21","love","it"
"22","year","old"
"23","next","week"
"24","even","though"
"25","sound","like"
"26","high","school"
"27","thank","much"
"28","good","luck"
"29","go","back"
"30","can","see"
"31","love","you"
"32","come","back"
"33","mother","day"
"34","just","like"
"35","just","want"
"36","new","year"
"37","everi","day"
"38","get","back"
"39","get","readi"
"40","social","media"
"41","one","thing"
"42","follow","me"
"43","thank","rt"
"44","seem","like"
"45","let","go"
"46","long","time"
"47","great","day"
"48","join","us"
"49","everi","time"
"50","can","make"
"51","dont","know"
"52","good","thing"
"53","tri","get"
"54","will","get"
"55","next","time"
"56","let","us"
"57","can","help"
"58","will","never"
"59","get","it"
"60","next","year"
"61","like","it"
"62","wait","see"
"63","mani","peopl"
"64","realli","want"
"65","go","get"
"66","ù","said"
"67","littl","bit"
"68","want","go"
"69","want","see"
"70","much","better"
"71","unit","state"
"72","best","friend"
"73","good","time"
"74","pretti","much"
"75","pleas","follow"
"76","will","make"
"77","need","get"
"78","make","feel"
"79","take","care"
"80","happi","mother"
"81","will","take"
"82","get","better"
"83","ice","cream"
"84","just","saw"
"85","just","get"
"86","like","that"
"87","good","day"
"88","want","know"
"89","check","out"
"90","look","good"
"91","great","time"
"92","stay","tune"
"93","us","know"
"94","just","one"
"95","just","say"
"96","time","get"
"97","good","night"
"98","realli","like"
"99","someon","els"
"100","make","sens"
"101","feel","good"
"102","realli","good"
"103","miss","you"
"104","im","go"
"105","last","time"
"106","last","day"
"107","san","diego"
"108","anyon","els"
"109","just","finish"
"110","will","come"
"111","feel","better"
"112","go","home"
"113","first","day"
"114","can","say"
"115","it","just"
"116","dont","want"
"117","go","see"
"118","one","favorit"
"119","can","use"
"120","cant","wait"
"121","give","us"
"122","tell","us"
"123","thing","like"
"124","will","alway"
"125","go","on"
"126","help","us"
"127","will","go"
"128","know","it"
"129","pretti","sure"
"130","thank","everyon"
"131","mani","time"
"132","one","can"
"133","spend","time"
"134","think","it"
"135","even","know"
"136","like","this"
"137","two","week"
"138","come","soon"
"139","go","bed"
"140","much","fun"
"141","hope","see"
"142","love","love"
"143","week","ago"
"144","just","need"
"145","come","see"
"146","much","love"
"147","pretti","good"
"148","just","go"
"149","work","hard"
"150","can","go"
"151","will","see"
"152","act","like"
"153","can","tell"
"154","im","sure"
"155","read","book"
"156","realli","need"
"157","two","year"
"158","next","day"
"159","one","best"
"160","see","it"
"161","can","also"
"162","can","find"
"163","happi","friday"
"164","follow","us"
"165","give","away"
"166","thank","god"
"167","can","take"
"168","good","one"
"169","happi","new"
"170","know","can"
"171","rt","rt"
"172","take","time"
"173","time","go"
