"","word1","word2","word3"
"1","thank","for","the"
"2","a","lot","of"
"3","one","of","the"
"4","i","want","to"
"5","look","forward","to"
"6","to","be","a"
"7","go","to","be"
"8","the","end","of"
"9","i","need","to"
"10","thank","you","for"
"11","be","abl","to"
"12","i","have","a"
"13","i","have","to"
"14","the","rest","of"
"15","you","want","to"
"16","it","was","a"
"17","some","of","the"
"18","cant","wait","to"
"19","i","love","you"
"20","is","go","to"
"21","out","of","the"
"22","one","of","my"
"23","part","of","the"
"24","i","think","i"
"25","in","the","world"
"26","want","to","be"
"27","it","would","be"
"28","this","is","a"
"29","this","is","the"
"30","at","the","end"
"31","if","you","are"
"32","it","is","a"
"33","a","coupl","of"
"34","all","of","the"
"35","end","of","the"
"36","have","a","great"
"37","for","the","follow"
"38","i","feel","like"
"39","the","fact","that"
"40","to","go","to"
"41","when","i","was"
"42","you","have","to"
"43","go","to","the"
"44","im","go","to"
"45","the","first","time"
"46","as","well","as"
"47","need","to","be"
"48","you","have","a"
"49","i","had","a"
"50","i","have","been"
"51","there","is","a"
"52","i","dont","know"
"53","there","is","no"
"54","all","the","time"
"55","i","will","be"
"56","let","me","know"
"57","to","be","the"
"58","if","you","have"
"59","to","see","you"
"60","i","think","it"
"61","if","you","want"
"62","in","order","to"
"63","to","see","the"
"64","in","the","morn"
"65","of","the","day"
"66","i","am","not"
"67","it","will","be"
"68","seem","to","be"
"69","to","have","a"
"70","you","need","to"
"71","i","had","to"
"72","in","front","of"
"73","for","the","first"
"74","have","to","be"
"75","is","one","of"
"76","we","need","to"
"77","as","long","as"
"78","one","of","those"
"79","to","make","a"
"80","most","of","the"
"81","wait","to","see"
"82","what","do","you"
"83","a","bit","of"
"84","of","the","year"
"85","rest","of","the"
"86","and","it","was"
"87","i","cant","wait"
"88","i","love","the"
"89","i","was","a"
"90","so","i","can"
"91","would","like","to"
"92","a","littl","bit"
"93","are","go","to"
"94","for","me","to"
"95","i","love","it"
"96","thank","for","follow"
"97","tri","to","get"
"98","was","go","to"
"99","as","much","as"
"100","at","the","same"
"101","back","to","the"
"102","dont","want","to"
"103","how","are","you"
"104","know","how","to"
"105","look","for","a"
"106","we","have","a"
"107","would","love","to"
"108","you","so","much"
"109","i","know","i"
"110","thank","so","much"
"111","the","same","time"
"112","and","i","have"
"113","i","am","a"
"114","i","hope","you"
"115","i","wish","i"
"116","there","was","a"
"117","and","i","was"
"118","but","it","was"
"119","do","you","think"
"120","i","decid","to"
"121","just","want","to"
"122","need","to","get"
"123","not","go","to"
"124","on","the","other"
"125","want","to","do"
"126","for","the","next"
"127","i","am","so"
"128","i","tri","to"
"129","in","the","middl"
"130","that","i","have"
"131","to","do","it"
"132","to","get","a"
"133","do","you","have"
"134","i","dont","think"
"135","i","miss","you"
"136","i","think","the"
"137","in","love","with"
"138","is","the","best"
"139","of","my","life"
"140","a","bunch","of"
"141","but","i","think"
"142","for","you","to"
"143","i","went","to"
"144","if","you","dont"
"145","is","in","the"
"146","of","my","favorit"
"147","remind","me","of"
"148","so","much","for"
"149","the","onli","one"
"150","the","same","thing"
"151","to","do","with"
"152","to","see","what"
"153","to","talk","to"
"154","a","chanc","to"
"155","a","matter","of"
"156","accord","to","the"
"157","cant","wait","for"
"158","had","a","great"
"159","i","know","that"
"160","in","my","life"
"161","in","the","first"
"162","is","a","good"
"163","it","come","to"
"164","look","at","the"
"165","of","the","most"
"166","that","it","is"
"167","want","to","see"
"168","we","will","be"
"169","a","long","time"
"170","as","far","as"
"171","be","a","good"
"172","i","know","it"
"173","in","the","past"
"174","in","the","same"
"175","it","is","the"
"176","one","of","them"
"177","to","make","the"
"178","when","it","come"
"179","will","be","a"
"180","you","know","what"
"181","a","great","day"
"182","a","part","of"
"183","and","i","am"
"184","but","i","have"
"185","for","the","rt"
"186","have","a","good"
"187","i","do","not"
"188","i","dont","have"
"189","look","like","a"
"190","of","the","best"
"191","of","the","world"
"192","on","top","of"
"193","the","middl","of"
"194","to","take","a"
"195","will","have","to"
"196","would","have","been"
"197","you","can","see"
"198","as","soon","as"
"199","at","this","point"
"200","becaus","of","the"
"201","but","it","is"
"202","go","back","to"
"203","i","am","go"
"204","i","just","want"
"205","i","use","to"
"206","is","not","a"
"207","it","is","not"
"208","that","i","am"
"209","to","be","in"
"210","to","get","to"
"211","what","are","you"
"212","you","dont","have"
"213","are","in","the"
"214","do","you","know"
"215","for","all","the"
"216","has","been","a"
"217","i","thought","i"
"218","i","would","have"
"219","i","would","love"
"220","it","was","the"
"221","on","the","way"
"222","up","in","the"
"223","want","to","go"
"224","you","for","the"
"225","am","go","to"
"226","be","sure","to"
"227","but","i","dont"
"228","for","a","while"
"229","get","out","of"
"230","i","would","be"
"231","in","the","us"
"232","it","in","the"
"233","pleas","follow","me"
"234","side","of","the"
"235","to","get","the"
"236","wait","for","the"
"237","wish","i","could"
"238","a","good","day"
"239","check","out","the"
"240","dont","have","to"
"241","i","dont","like"
"242","i","have","no"
"243","i","think","that"
"244","is","a","great"
"245","that","would","be"
"246","want","to","know"
"247","you","go","to"
"248","at","the","time"
"249","but","if","you"
"250","for","a","few"
"251","id","like","to"
"252","in","a","few"
"253","let","us","know"
"254","some","of","my"
"255","the","opportun","to"
"256","want","to","get"
"257","you","will","be"
"258","a","good","thing"
"259","at","a","time"
"260","be","in","the"
"261","dope","dope","dope"
"262","get","back","to"
"263","go","to","bed"
"264","go","to","do"
"265","has","to","be"
"266","how","do","you"
"267","i","don’t","know"
"268","i","dont","even"
"269","i","know","you"
